question,answer,category
Which states are already transitioning well?,Gujarat Karnataka Tamil Nadu Himachal Pradesh and Kerala have the best clean energy ratios. Gujarat has over 43000 MW of clean capacity. Karnataka and Tamil Nadu lead in wind and solar deployment.,states
What is the total retirable fossil capacity?,The total fossil plant capacity across all Urgent Replacement candidates represents hundreds of gigawatts of potential clean energy opportunity across India's coal belt states.,states
Which region has the best hybrid potential?,Rajasthan's Thar Desert corridor has exceptional solar combined with adequate wind making it India's best hybrid zone. The Deccan Plateau including Tamil Nadu Andhra Pradesh and Karnataka also has strong hybrid sites.,states
What is the Gangetic Plain's renewable outlook?,Gangetic Plain states like Uttar Pradesh Bihar and Jharkhand have strong solar resources but lower wind speeds at 100m. Solar-primary or hybrid with storage systems are recommended for plant replacements in this region.,states
How does VayuAkra assign states to plants?,VayuAkra uses a KDTree spatial algorithm to assign each plant to its nearest state centroid. This maps plants to Indian states without needing a reverse-geocoding API.,technical
What is a KDTree?,A KDTree is a data structure that efficiently finds the nearest point in space. VayuAkra uses it to match each plant's latitude-longitude to the closest state centroid — assigning it a state name in milliseconds.,technical
What is TF-IDF?,TF-IDF stands for Term Frequency-Inverse Document Frequency. It is a text similarity technique used by VayuAkra's chatbot to find the most relevant answer to your question by comparing word patterns.,technical
What technology powers VayuAkra?,VayuAkra is built with Python Streamlit for the web interface Plotly for interactive charts Pandas and NumPy for data processing and SciPy for spatial analysis.,technical
What is Streamlit?,Streamlit is an open-source Python framework that turns data scripts into shareable web applications. VayuAkra uses Streamlit to create its interactive dashboard without needing HTML or JavaScript.,technical
What is Plotly?,Plotly is a Python visualisation library used in VayuAkra for the interactive map bar charts pie charts and gauge indicators. It supports zoom hover and click interactions.,technical
How do I run VayuAkra locally?,Run pip install -r requirements.txt then streamlit run app.py in your terminal. Place both CSV files in the same folder as app.py. The dashboard opens at http://localhost:8501.,technical
What is India's 2030 renewable target?,India pledged under COP26 to achieve 500 GW of non-fossil fuel capacity by 2030. VayuAkra helps identify which plants to retire and which sites to prioritise to help meet this goal.,policy
What is COP26?,COP26 was the 2021 United Nations Climate Change Conference in Glasgow where India committed to 500 GW renewable capacity by 2030 and net zero emissions by 2070.,policy
Why is coal still dominant in India?,Coal dominates because India historically built its industrial economy on cheap domestic coal reserves. Many plants were commissioned in the 1980s and 1990s and are now ageing while the grid infrastructure was designed around centralised coal power.,policy
What is the National Electricity Plan?,India's National Electricity Plan 2023-2032 outlines the government's roadmap for power sector development including targets for renewable capacity additions and coal plant retirement timelines.,policy
What is the Global Power Plant Database?,The Global Power Plant Database is an open dataset published by the World Resources Institute containing over 35000 power plants worldwide with location capacity fuel type and commissioning year data.,data
What is the IEA Ember Monthly Release?,The IEA Ember India Monthly Electricity Release is a dataset tracking India's monthly electricity generation and capacity by fuel type broken down by state — used in VayuAkra to calculate each state's fossil-to-clean ratio.,data
What is NASA POWER?,NASA POWER is a NASA project providing solar irradiance meteorological and wind speed data derived from satellite observations worldwide — used to supply the 12-month solar bands in VayuAkra's plant dataset.,data
What is ERA5?,ERA5 is a global climate reanalysis dataset produced by the European Centre for Medium-Range Weather Forecasts providing historical weather data including wind speeds — used for the wind_speed_100m values in VayuAkra.,data
How many tabs does VayuAkra have?,VayuAkra has four tabs — Geospatial Intelligence Map for the national overview State Leaderboard for state rankings Surya-Vayu Analysis for per-plant deep dives and VayuAkra AI for the chatbot.,features
What is the best plant to replace first?,The plants with the highest Transition Scores — typically old coal plants in Chhattisgarh Jharkhand or Madhya Pradesh with high solar and wind potential — are the best candidates for first replacement.,strategy
How do I find hybrid candidates?,On the map filter by Recommended Mix = Hybrid Candidate in the sidebar or look for blue-badged plants in the Surya-Vayu tab. These sites have both solar and wind above the 75th national percentile.,strategy
Can VayuAkra work offline?,Yes. Once deployed VayuAkra only needs the two CSV files to run. The map requires internet to load the basemap tiles but all data processing and scoring happens entirely offline.,technical
What is the commissioning year?,The commissioning year is the year a power plant began commercial operations. Older commissioning years mean older plants which score higher on the Age component of the Transition Score.,general
What is MW?,MW stands for Megawatt — a unit of power. One MW can power roughly 1000 average Indian homes. VayuAkra's plant capacities range from a few MW for small gas turbines to over 3000 MW for large coal stations.,general
What is installed capacity?,Installed capacity is the maximum power a plant can generate in MW under ideal conditions. It is different from actual generation which depends on fuel availability maintenance and grid demand.,general
What is a power purchase agreement?,A power purchase agreement or PPA is a contract between a power generator and a buyer committing to purchase electricity at an agreed price for a set period — key to financing new renewable projects replacing retired coal plants.,policy
What is grid stability?,Grid stability means maintaining a consistent frequency and voltage across the electricity network. Replacing coal baseload with intermittent solar and wind requires storage or hybrid systems to maintain grid stability.,renewable
What is a capacity factor for solar in India?,Solar plants in India typically achieve 18-25% capacity factor depending on location. Rajasthan achieves the highest values. This compares to 55-70% for coal baseload plants highlighting the need for more solar capacity to replace equivalent coal output.,renewable
How much solar capacity replaces one coal plant?,Due to capacity factor differences roughly 3-4 MW of solar capacity is needed to match 1 MW of coal baseload generation when accounting for storage and grid balancing needs.,renewable
What is the monsoon effect on solar?,During India's monsoon season June to September cloud cover significantly reduces solar irradiance especially in western and central India. This is why VayuAkra shows the 12-month solar curve — to reveal seasonal dips.,renewable
What is wind curtailment?,Wind curtailment occurs when more wind power is generated than the grid can absorb and turbines are switched off wasting clean energy. Grid upgrades and storage are essential to reduce curtailment as wind capacity expands.,renewable
Why does the map use a dark theme?,The dark carto-darkmatter basemap is used because plant markers with red-to-green colour coding are much more visible against a dark background than a light map — improving readability for data analysis.,features
What is the difference between solar and hybrid?,A Solar recommendation means the site is strong only for solar. A Hybrid Candidate means both solar AND wind are strong at that location allowing a co-located system that generates more consistently across seasons and times of day.,classification
How does VayuAkra prioritise states?,States with higher fossil ratios from the IEA Ember monthly data receive higher Regional Grid Priority scores. This means plants in 100% fossil states like Chhattisgarh score higher than plants in states like Gujarat which already has significant clean capacity.,scoring
What happens after a plant is retired?,After retirement the site can host renewable infrastructure. The existing grid connection land and sometimes workers can be repurposed — a process called just transition that VayuAkra's replacement capacity targets help plan.,policy
Is VayuAkra open source?,Yes. VayuAkra is a self-contained open-source Python application requiring only pip install and a single streamlit run command. No cloud services API keys or databases are required.,technical
What is India's current coal capacity?,India has over 200 GW of installed coal capacity making it the second largest coal power system in the world. VayuAkra identifies which of these plants should be prioritised for transition based on age resources and grid context.,policy
How accurate is the state assignment?,State assignment via KDTree nearest-centroid is an approximation. Plants near state borders may occasionally be assigned to the wrong state. A production system would use GeoJSON state boundary polygons for precise assignment.,technical
What improvements could make VayuAkra better?,Future enhancements include GeoJSON boundary integration BESS sizing calculators carbon abatement estimates live API data feeds adjustable scoring weights and multi-language support for Hindi Tamil and Telugu.,general
